COSITE,YEAR,JANAADT,FEBAADT,MARAADT,APRAADT,MAYAADT,JUNAADT,JULAADT,AUGAADT,SEPAADT,OCTAADT,NOVAADT,DECAADT,,,,,,,
030094,2017,47068,49774,49773,45599,39535,36365,36523,36524,30549,33501,35274,35955,,,,,,,
030094,2021,45954,49177,50719,49120,44309,40709,39025,38773,39005,43159,45467,46552,,,,,,,
030143,2011,14861,15952,15702,15884,14500,12661,11623,12595,12662,12792,13698,14352,,,,,,,
030143,2012,14660,15780,15825,15293,14258,12227,11643,12164,12271,12621,13736,14202,,,,,,,
030143,2013,14632,15663,15584,15554,14960,12521,11544,12797,12836,13286,14255,14828,,,,,,,
030143,2014,15013,16164,16218,16177,15452,13137,12229,13638,13651,13866,14930,15655,,,,,,,
030143,2018,18538,19708,19809,19773,18116,16369,15667,17365,17031,17264,18079,18212,,,,,,,
030143,2016,16487,17770,18071,17600,16810,15153,14468,15994,15764,15909,17024,17499,,,,,,,
030143,2020,19451,20610,17543,13064,14698,13606,13275,0,0,0,0,0,,,,,,,
030143,2019,18714,19621,20049,19680,18794,16681,16289,18337,17702,18106,18937,19023,,,,,,,
030143,2015,16348,17283,17629,17476,16548,14099,13480,14872,14552,14795,15838,16336,,,,,,,
030143,2017,17721,18774,19197,18866,17863,15529,15558,16846,14195,17456,18006,18241,,,,,,,
030191,2011,64340,71572,73313,66177,57816,55355,54603,54374,53372,57546,63257,62974,,,,,,,
030191,2012,66506,73404,75229,66832,60096,57092,56909,55312,54913,59786,64609,64092,,,,,,,
030191,2013,68044,74650,77057,67300,62534,59054,58536,60242,57681,63734,68460,67785,,,,,,,
030191,2014,70977,81352,82646,74395,67005,63493,63018,64179,61281,67769,73037,74833,,,,,,,
030191,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
030191,2016,84525,90798,92880,83433,77226,73268,73568,73046,71918,78654,82729,83393,,,,,,,
030191,2020,94006,100049,76813,46260,61801,71302,69196,71965,73299,77614,78470,83095,,,,,,,
030191,2019,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
030191,2015,79895,87345,89158,80134,72937,70258,69221,69877,68496,74237,79613,80535,,,,,,,
030191,2017,87230,93932,94582,88538,80287,74910,75741,74985,63479,82860,86597,85035,,,,,,,
030191,2021,85568,93365,98527,96405,90839,87873,79580,82194,82895,88698,94167,92730,,,,,,,
030270,2011,2733,3433,3342,2831,2555,2434,2717,2365,2147,2152,2584,2621,,,,,,,
030270,2012,2783,3227,3210,2587,2457,2228,2576,2174,1994,1994,2225,2281,,,,,,,
030270,2013,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
030270,2014,2701,3300,3270,2767,2587,2348,2695,2561,2059,2268,2614,2773,,,,,,,
030270,2018,2923,3366,3380,2973,2648,2637,3103,2689,2335,2486,2924,3043,,,,,,,
030270,2016,3129,3684,3621,3102,3040,2707,3177,2808,2526,2649,2930,2936,,,,,,,
030270,2020,3476,3823,2659,1403,2380,2900,3050,3187,2984,2552,2563,2992,,,,,,,
030270,2019,3164,3709,3718,3247,3030,2867,3281,2912,2446,2775,3187,3304,,,,,,,
030270,2015,3061,3521,3436,2869,2754,2550,2926,2709,2408,2503,2918,3030,,,,,,,
030270,2017,3146,3609,3589,3263,3063,2603,3144,2714,1828,2276,2798,2802,,,,,,,
030270,2021,3101,3564,3811,3511,3555,3391,3537,2964,2867,2785,3170,3264,,,,,,,
030351,2011,18906,21398,22503,20169,19098,17544,19061,17898,16750,17058,20194,19875,,,,,,,
030351,2012,19381,21550,22644,19942,19402,18592,19805,17814,16721,17479,20075,19941,,,,,,,
030351,2013,20251,21724,23245,19722,19637,19260,20418,20003,17295,18621,20828,21638,,,,,,,
030351,2014,20681,23028,24129,21612,21038,20122,21510,20713,18182,19355,22502,22969,,,,,,,
030351,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
030351,2016,24134,26099,27654,24340,24712,23080,25566,22995,21676,22789,25675,26449,,,,,,,
030351,2020,27138,0,19820,9718,15926,0,21206,22865,23079,21883,22522,24138,,,,,,,
030351,2019,25837,28044,29391,27072,27103,25758,26811,24677,22318,24356,27234,28253,,,,,,,
030351,2015,22365,24702,25697,23549,22673,22170,23363,21779,20729,21054,24364,25078,,,,,,,
030351,2017,24988,26446,27745,26467,25691,23962,26157,23694,20334,22975,26525,25484,,,,,,,
030351,2021,23068,25890,28209,27651,28381,28103,28601,23547,25694,25813,28909,28348,,,,,,,
039950,2012,80000,89096,90023,80176,71394,67908,67485,66147,65755,72095,78008,77163,,,,,,,
039950,2013,83267,91169,94530,83183,75631,71363,70465,72534,69550,77770,83614,84932,,,,,,,
039950,2014,89195,98472,100712,90629,80807,76646,75840,77326,74295,82477,88923,90755,,,,,,,
039950,2018,110157,110214,119229,107294,97851,96581,94750,94897,92028,100456,106878,105509,,,,,,,
039950,2016,101808,110695,113351,101549,93971,87915,87216,87431,86487,94490,99147,100433,,,,,,,
039950,2020,114269,121399,92007,55289,73543,84633,81676,85397,86846,92623,93612,99189,,,,,,,
039950,2019,111047,119724,122198,112743,102615,97230,95827,95200,93488,102615,108521,109637,,,,,,,
039950,2015,96577,105454,108213,97666,87413,84065,82519,83413,81882,89307,95715,96558,,,,,,,
039950,2017,105341,112458,114595,105498,96067,90189,90698,90024,71616,77507,80539,81717,,,,,,,
039950,2021,98578,102685,115931,106292,104563,101586,97869,95861,96767,104789,110824,110900,,,,,,,
040068,2011,3305,3652,3799,3702,3489,3233,2962,2864,2879,3032,3399,3421,,,,,,,
040068,2012,3347,3694,3961,3693,3559,3048,2977,2815,2900,3140,3444,3410,,,,,,,
040068,2013,3395,3710,3825,3583,3684,3190,2963,2998,2926,3287,3579,3642,,,,,,,
040068,2014,3548,3905,4096,3976,3823,3387,3238,3246,3107,3480,3829,3920,,,,,,,
040068,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
040068,2016,4178,4754,5189,4684,4470,3963,4020,3880,4075,4193,4522,4584,,,,,,,
040068,2020,4984,5498,5100,3776,4414,4188,3947,4013,4080,4415,4440,4552,,,,,,,
040068,2019,4818,5220,5505,5219,5069,4531,4202,4279,4309,4625,4935,4937,,,,,,,
040068,2015,3864,4331,4577,4276,4204,3671,3412,3513,3468,3770,4101,4275,,,,,,,
040068,2017,4568,4900,5213,4966,4751,4105,4028,3986,3748,4532,4611,4587,,,,,,,
040068,2021,4701,4874,5549,5344,5153,4759,4379,4330,4258,4821,5097,5018,,,,,,,
040145,2011,7915,8937,8971,7836,7067,6545,6164,5940,6002,6529,7344,7721,,,,,,,
040145,2012,8185,8927,9235,7997,7290,6475,6442,6199,6218,6673,7305,7393,,,,,,,
040145,2013,7876,8706,8698,7738,7182,6415,6127,6117,6042,6685,7178,7544,,,,,,,
040145,2014,8072,8824,8958,8141,7464,6787,6522,6388,6163,6870,7515,7977,,,,,,,
040145,2018,9743,10785,11041,10147,8763,8110,7722,7768,7755,8339,9062,9067,,,,,,,
040145,2016,8862,9819,10557,9300,8515,7672,7568,7354,7434,7772,8438,8674,,,,,,,
040145,2020,10382,11467,9370,6630,8031,8017,7837,7919,8022,8473,8815,9226,,,,,,,
040145,2019,9864,11044,11717,10404,9561,8840,8327,8325,8022,8829,9494,9783,,,,,,,
040145,2015,8576,9597,9818,8779,8124,7411,7027,6946,6979,7578,8125,8527,,,,,,,
040145,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
040145,2021,9611,10468,11929,10884,9189,9705,9240,8593,8691,9630,10349,10675,,,,,,,
040271,2011,5321,5984,5807,5404,5021,4651,4149,4212,4226,4473,4892,5148,,,,,,,
040271,2012,5356,5723,5702,5177,4860,4146,4073,4120,4206,4404,4789,4982,,,,,,,
040271,2013,5282,5581,5738,5424,5088,4426,4174,4360,4328,4659,5013,5380,,,,,,,
040271,2014,5499,6072,6017,5748,5346,4681,4487,4526,4496,4860,5079,5536,,,,,,,
040271,2018,6427,6895,7192,6715,5745,5585,5391,5503,5415,5652,5921,6217,,,,,,,
040271,2016,6343,6965,7316,6798,6033,5455,5504,5527,5293,6061,6199,6565,,,,,,,
040271,2020,6842,7442,6611,4862,5821,5841,5757,5715,5740,6003,5959,6373,,,,,,,
040271,2019,6336,6916,7213,6573,6104,5498,5401,5493,5502,5844,6200,6562,,,,,,,
040271,2015,5851,6362,6514,6160,5773,5179,4813,4999,4988,5382,5674,6092,,,,,,,
040271,2017,6934,7403,7595,7024,6459,5673,5605,5656,4739,5977,6139,6349,,,,,,,
040271,2021,6583,6995,7675,7288,6821,6438,6222,6031,6028,6590,6778,7235,,,,,,,
050272,2011,3480,3755,3353,3175,3012,2708,2458,2513,2540,2589,2924,3122,,,,,,,
050272,2012,3378,3727,3504,3030,2943,2577,2507,2417,2534,2540,2904,3090,,,,,,,
050272,2013,3296,3535,3491,3137,2949,2669,2471,2572,2546,2734,2850,3139,,,,,,,
050272,2014,3491,3703,3472,3310,3020,2810,2565,2639,2601,2772,2951,3167,,,,,,,
050272,2018,4110,4479,4546,4425,3663,3661,3453,3641,3648,3720,3822,4051,,,,,,,
050272,2016,3666,4106,4100,3636,3365,3112,3015,3073,3139,3509,3602,3818,,,,,,,
050272,2020,4435,4825,4335,3242,3560,3420,3520,3618,3592,3824,3778,4231,,,,,,,
050272,2019,4336,4698,4728,4481,4097,3789,3714,3733,3602,3808,4064,4163,,,,,,,
050272,2015,3494,3770,3717,3513,3214,2941,2687,2801,2814,3046,3246,3419,,,,,,,
050272,2017,4097,4454,4419,4041,3768,3354,3272,3353,3183,3634,3886,3818,,,,,,,
050272,2021,4312,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
070039,2011,12768,14397,13943,12726,11768,11211,10608,10702,10629,10857,11727,12071,,,,,,,
070039,2012,12436,13797,13516,12261,11481,10519,10186,10034,10326,10983,11748,12080,,,,,,,
070039,2013,12594,13973,13840,12751,12163,11389,10827,11360,11009,11577,12178,12692,,,,,,,
070039,2014,12884,14383,14336,13319,12595,11905,11310,11716,11636,11991,12816,13560,,,,,,,
070039,2018,16271,17686,18057,17104,16124,15833,15527,15855,15755,16271,17045,17219,,,,,,,
070039,2016,15078,16851,16917,15612,15014,14037,13901,14254,14173,14944,15489,15980,,,,,,,
070039,2020,18284,19645,16888,12615,15533,16093,15798,16499,16806,17425,17515,18391,,,,,,,
070039,2019,17732,19139,19425,18178,17154,16328,15787,16348,16178,16827,17558,17799,,,,,,,
070039,2015,14050,15601,15694,14420,13465,12828,12450,12872,12909,13700,14362,14873,,,,,,,
070039,2017,16216,17594,17841,16620,16025,14827,14606,14732,11971,12567,12903,13327,,,,,,,
070039,2021,18779,20417,21511,20422,19693,19065,17726,18105,18286,19393,20077,20395,,,,,,,
079918,2011,14457,15977,16114,15500,14900,13700,12700,12493,12421,12685,13719,14054,,,,,,,
079918,2012,14151,15379,15382,14141,13502,12681,12295,12030,12436,12674,13836,13815,,,,,,,
079918,2013,14105,14972,15242,14256,13648,12660,12149,12579,12288,12972,13808,14220,,,,,,,
079918,2014,14044,15500,15542,14659,14112,12984,12487,12946,12653,13284,14497,14724,,,,,,,
079918,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
079918,2016,16148,17823,18269,16874,16104,14822,14563,14811,15225,15296,15121,16729,,,,,,,
079918,2020,17972,19108,16595,12735,14944,15469,15231,15676,16395,16835,16811,17023,,,,,,,
079918,2019,17326,18677,19242,18294,17461,16308,15551,16212,16126,17230,18044,17864,,,,,,,
079918,2015,15003,16220,16790,15787,15033,14199,13552,13876,14156,14512,15506,15627,,,,,,,
079918,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
079918,2021,17324,18506,19351,18968,18608,17661,17004,16918,17355,18026,19067,18458,,,,,,,
080283,2011,20494,22129,22314,21784,20241,19703,19284,19273,19562,20260,20817,20670,,,,,,,
080283,2012,20592,21972,22575,21714,20487,19833,20129,19559,19839,20502,21162,20669,,,,,,,
080283,2013,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
080283,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
080283,2016,22262,24215,24670,24027,23222,21865,21902,22124,21938,23390,23538,22943,,,,,,,
080283,2020,24770,26228,22793,16830,21798,22874,22237,22417,23085,23934,23496,23608,,,,,,,
080283,2019,23639,25409,26038,25112,24397,23078,22739,23410,23474,24205,24690,24654,,,,,,,
080283,2015,22000,22000,22000,22460,21966,20777,20169,20703,21430,22170,22355,22451,,,,,,,
080283,2017,23401,24832,25402,25035,23665,22178,22332,22853,22905,23633,24617,24700,,,,,,,
080283,2021,23911,24968,26790,26336,26272,25590,24352,24176,24739,25730,25665,26066,,,,,,,
080294,2011,9102,9821,9525,9270,8609,7846,7309,7818,8246,8626,8550,8350,,,,,,,
080294,2013,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
080294,2014,7907,8585,8255,7881,7618,6935,6900,7662,7751,8381,8347,8527,,,,,,,
080294,2018,9557,10990,11063,10630,9707,9135,8766,9590,9536,9855,9824,9985,,,,,,,
080294,2016,9221,9857,9652,9522,9090,8359,7999,8590,8655,9257,9307,9409,,,,,,,
080294,2020,10644,11311,9633,7250,8609,9002,8569,8978,9477,10090,9850,10098,,,,,,,
080294,2019,10228,11029,10986,10570,9922,9019,8704,9682,9749,10265,10263,10457,,,,,,,
080294,2015,8667,9212,9585,8832,8735,7851,7345,7892,8448,8983,9077,9160,,,,,,,
080294,2017,9550,10159,10108,9859,9234,8211,8090,8771,9520,9968,9959,10059,,,,,,,
080294,2021,10362,10609,10889,10876,10721,10239,9443,9971,10177,10817,10852,10942,,,,,,,
080463,2021,31444,32302,34033,33825,33166,32614,31392,31676,32259,34248,33612,34463,,,,,,,
090229,2011,5337,5629,5836,5366,5024,4820,4420,4603,4760,4862,5031,5082,,,,,,,
090229,2012,5423,5571,5874,5278,5176,4631,4470,4548,4738,5005,5036,4972,,,,,,,
090229,2013,5250,5459,5539,5230,5097,4613,4267,4707,4773,4947,5046,4968,,,,,,,
090229,2014,5196,5594,5608,5387,5161,4750,4493,4597,4700,4853,5198,5331,,,,,,,
090229,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
090229,2016,5742,6229,6608,6147,5925,5141,5069,5466,5492,5857,5982,6047,,,,,,,
090229,2020,6396,6777,6200,4773,5538,5679,5442,5678,5718,5932,5976,6009,,,,,,,
090229,2019,6297,6705,6852,6508,6111,5689,5456,5771,5797,5967,6072,6168,,,,,,,
090229,2015,5738,6018,6291,5857,5588,4897,4678,4878,5090,5419,5468,5588,,,,,,,
090229,2017,6190,6612,7108,6650,6497,5788,5662,5802,5953,6340,6462,6527,,,,,,,
090229,2021,6458,6797,7135,6813,6750,6195,5888,6046,6220,6594,6662,6806,,,,,,,
090327,2011,7168,7998,8337,7820,7144,6687,6354,6150,6047,6153,7033,7180,,,,,,,
090327,2012,7147,7773,8248,7428,7048,6288,6269,5950,5939,6192,6918,6908,,,,,,,
090327,2013,7065,7665,8047,7325,7102,6366,6198,6195,5890,6205,6760,7233,,,,,,,
090327,2014,7183,7890,8447,7868,7397,6587,6516,6484,6228,6573,7268,7598,,,,,,,
090327,2018,8589,9359,9867,9102,8516,8119,7936,7936,7715,7843,8761,8646,,,,,,,
090327,2016,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
090327,2020,9104,9716,8694,6136,7356,7451,7202,7398,7547,7673,7958,8156,,,,,,,
090327,2019,8943,9560,10321,9448,8975,8194,8026,7890,7631,8187,8934,9194,,,,,,,
090327,2015,7760,8450,9054,8317,7966,7259,7113,6933,6821,6969,7050,8100,,,,,,,
090327,2017,8493,9064,10383,9179,8628,7745,7776,7599,8215,7933,8794,8660,,,,,,,
090327,2021,8099,8983,10115,9464,9154,8625,8393,7957,8052,8602,9423,8320,,,,,,,
100080,2011,11853,12766,13737,12000,11436,10972,10561,10957,11137,11402,11234,11437,,,,,,,
100080,2012,12127,13121,13878,11913,11591,11047,10821,11069,11407,11783,11549,11879,,,,,,,
100080,2013,12389,13724,13915,12562,12019,11501,11103,11620,11857,12101,11705,12041,,,,,,,
